key,first,last,location,gtype
gdobbs,George,Dobbs,"Hartford, Connecticut, USA area",png
iglazer,Ian,Glazer,"Washington, DC, USA",jpg
shaq,Salman (Shaq),Haq,"Mclean, Virgina, USA area",jpg
ahindle,Andi,Hindle,"Oxfordshire, UK",jpg
shutchinson,Steve,Hutchinson,"Richmond, Virginia, USA area",jpg
akoot,André,Koot,"Amsterdam, Netherlands area",jpg
cscholefield,Corey,Scholefield,"Victoria, British Columbia, Canada area",jpg
ssquire,Sarah,Squire,"Seattle, Washington, USA area",jpg
gwilliamson,Graham,Williamson,"Brisbane, Queensland, Australia",jpg
bcarlier,Bertrand,Carlier,"Paris, France",jpg
