contribkey,citation
ahindle,Moore1991
ahindle,Carlier2018
akoot,Cameron2005
akoot,Harper2006
akoot,Hardt2005
akoot,Williamson2017
bcarlier,Bertocci2019
bcarlier,Siriwardena2016
cscholefield,Windley2005
cscholefield,Prasad2012
cscholefield,Hazelton2015
dbrossard,Schneier2016
dbrossard,ONeil2016
dbrossard,Doctorow2019
gdobbs,Hoffman1977
gdobbs,Cameron2005
gwilliamson,NIST-USA2017
gwilliamson,DTA-AUS2018
gwilliamson,Williamson2017
iglazer,Richer2017
iglazer,Clippinger2007
mdrummond,Steadman2019a
mdrummond,Bouma2020a
mdrummond,Bertocci2019a
r2h2,IAMPrimer2016
scecchetti,NSTIC2011
scecchetti,Richer2017
scecchetti,Gilman2017
scecchetti,Hardt2005
shaq,Windley2005
shutchinson,Birch2014
shutchinson,Hardjono2016
shutchinson,Richer2017
shutchinson,Nayyar2018
shutchinson,Schwartz2018
